ID: 1, Type: Car, Capacity: 5, Status: unavailable
ID: 2, Type: Truck, Capacity: 15, Status: unavailable
ID: 3, Type: Truck, Capacity: 8, Status: unavailable
ID: 4, Type: Car, Capacity: 2, Status: unavailable
ID: 5, Type: Car, Capacity: 4, Status: unavailable
ID: 6, Type: Truck, Capacity: 20, Status: unavailable
ID: 7, Type: Car, Capacity: 3, Status: unavailable
ID: 8, Type: Truck, Capacity: 10, Status: available
ID: 9, Type: Car, Capacity: 4, Status: unavailable
ID: 10, Type: Truck, Capacity: 12, Status: available
ID: 11, Type: Car, Capacity: 5, Status: unavailable
ID: 12, Type: Truck, Capacity: 7, Status: available
ID: 13, Type: Car, Capacity: 3, Status: available
ID: 14, Type: Truck, Capacity: 18, Status: available
ID: 15, Type: Car, Capacity: 4, Status: available
ID: 16, Type: Truck, Capacity: 9, Status: unavailable
ID: 17, Type: Car, Capacity: 2, Status: available
ID: 18, Type: Truck, Capacity: 25, Status: available
ID: 19, Type: Car, Capacity: 4, Status: unavailable
ID: 20, Type: Truck, Capacity: 14, Status: available
ID: 21, Type: Car, Capacity: 5, Status: unavailable
ID: 22, Type: Truck, Capacity: 16, Status: available
ID: 23, Type: Car, Capacity: 3, Status: available
ID: 24, Type: Truck, Capacity: 11, Status: available
ID: 25, Type: Car, Capacity: 4, Status: unavailable
ID: 26, Type: Truck, Capacity: 10, Status: unavailable
ID: 27, Type: Car, Capacity: 4, Status: available
ID: 28, Type: Truck, Capacity: 8, Status: unavailable
ID: 29, Type: Car, Capacity: 3, Status: available
ID: 30, Type: Truck, Capacity: 6, Status: available
ID: 31, Type: Car, Capacity: 5, Status: available
ID: 32, Type: Truck, Capacity: 13, Status: available
ID: 33, Type: Car, Capacity: 2, Status: available
ID: 34, Type: Truck, Capacity: 12, Status: unavailable
ID: 35, Type: Car, Capacity: 4, Status: available
ID: 36, Type: Truck, Capacity: 10, Status: available
ID: 37, Type: Car, Capacity: 4, Status: available
ID: 38, Type: Truck, Capacity: 7, Status: unavailable
ID: 39, Type: Car, Capacity: 2, Status: available
ID: 40, Type: Car, Capacity: 123, Status: available
